简体	越南
对敌方单体造成280%的伤害，且本方剩余武将越少伤害越高	Gây 280% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至284%	Cấp sau: Tăng sát thương lên mục tiêu đến 284%
对敌方单体造成284%的伤害，且本方剩余武将越少伤害越高	Gây 284% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至288%	Cấp sau: Tăng sát thương lên mục tiêu đến 288%
对敌方单体造成288%的伤害，且本方剩余武将越少伤害越高	Gây 288% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至292%	Cấp sau: Tăng sát thương lên mục tiêu đến 292%
对敌方单体造成292%的伤害，且本方剩余武将越少伤害越高	Gây 292% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至296%	Cấp sau: Tăng sát thương lên mục tiêu đến 296%
对敌方单体造成296%的伤害，且本方剩余武将越少伤害越高	Gây 296% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至300%	Cấp sau: Tăng sát thương lên mục tiêu đến 300%
对敌方单体造成300%的伤害，且本方剩余武将越少伤害越高	Gây 300% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至304%	Cấp sau: Tăng sát thương lên mục tiêu đến 304%
对敌方单体造成304%的伤害，且本方剩余武将越少伤害越高	Gây 304% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至308%	Cấp sau: Tăng sát thương lên mục tiêu đến 308%
对敌方单体造成308%的伤害，且本方剩余武将越少伤害越高	Gây 308% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至312%	Cấp sau: Tăng sát thương lên mục tiêu đến 312%
对敌方单体造成312%的伤害，且本方剩余武将越少伤害越高	Gây 312% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
下一级：对目标造成的伤害提高至316%	Cấp sau: Tăng sát thương lên mục tiêu đến 316%
对敌方单体造成316%的伤害，且本方剩余武将越少伤害越高	Gây 316% sát thương lên 1 kẻ địch, và Võ Tướng còn lại càng ít sát thương càng cao
永久提高刀兵50点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 50 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵100点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 100 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵150点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 150 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵200点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 200 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵250点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 250 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵300点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 300 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵350点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 350 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵400点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 400 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵450点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 450 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵500点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 500 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵550点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 550 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵600点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 600 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵650点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 650 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵700点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 700 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵750点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 750 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵800点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 800 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵850点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 850 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵900点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 900 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵950点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 950 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1000点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1000 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1050点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1050 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1100点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1100 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1150点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1150 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1200点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1200 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1250点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1250 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1300点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1300 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1350点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1350 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1400点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1400 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1450点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1450 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1500点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1500 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1550点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1550 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1600点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1600 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1650点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1650 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1700点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1700 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1750点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1750 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1800点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1800 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1850点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1850 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1900点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1900 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵1950点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 1950 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2000点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2000 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2050点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2050 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2100点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2100 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2150点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2150 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2200点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2200 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2250点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2250 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2300点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2300 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2350点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2350 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2400点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2400 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2450点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2450 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
永久提高刀兵2500点格挡，格挡可将受到伤害降低50%	Tăng Đao Binh 2500 điểm Đỡ, Đỡ có thể làm giảm 50% sát thương
下一级：永久提高刀兵100点格挡	Cấp sau: Tăng Đao Binh 100 điểm Đỡ
下一级：永久提高刀兵150点格挡	Cấp sau: Tăng Đao Binh 150 điểm Đỡ
下一级：永久提高刀兵200点格挡	Cấp sau: Tăng Đao Binh 200 điểm Đỡ
下一级：永久提高刀兵250点格挡	Cấp sau: Tăng Đao Binh 250 điểm Đỡ
下一级：永久提高刀兵300点格挡	Cấp sau: Tăng Đao Binh 300 điểm Đỡ
下一级：永久提高刀兵350点格挡	Cấp sau: Tăng Đao Binh 350 điểm Đỡ
下一级：永久提高刀兵400点格挡	Cấp sau: Tăng Đao Binh 400 điểm Đỡ
下一级：永久提高刀兵450点格挡	Cấp sau: Tăng Đao Binh 450 điểm Đỡ
下一级：永久提高刀兵500点格挡	Cấp sau: Tăng Đao Binh 500 điểm Đỡ
下一级：永久提高刀兵550点格挡	Cấp sau: Tăng Đao Binh 550 điểm Đỡ
下一级：永久提高刀兵600点格挡	Cấp sau: Tăng Đao Binh 600 điểm Đỡ
下一级：永久提高刀兵650点格挡	Cấp sau: Tăng Đao Binh 650 điểm Đỡ
下一级：永久提高刀兵700点格挡	Cấp sau: Tăng Đao Binh 700 điểm Đỡ
下一级：永久提高刀兵750点格挡	Cấp sau: Tăng Đao Binh 750 điểm Đỡ
下一级：永久提高刀兵800点格挡	Cấp sau: Tăng Đao Binh 800 điểm Đỡ
下一级：永久提高刀兵850点格挡	Cấp sau: Tăng Đao Binh 850 điểm Đỡ
下一级：永久提高刀兵900点格挡	Cấp sau: Tăng Đao Binh 900 điểm Đỡ
下一级：永久提高刀兵950点格挡	Cấp sau: Tăng Đao Binh 950 điểm Đỡ
下一级：永久提高刀兵1000点格挡	Cấp sau: Tăng Đao Binh 1000 điểm Đỡ
下一级：永久提高刀兵1050点格挡	Cấp sau: Tăng Đao Binh 1050 điểm Đỡ
下一级：永久提高刀兵1100点格挡	Cấp sau: Tăng Đao Binh 1100 điểm Đỡ
下一级：永久提高刀兵1150点格挡	Cấp sau: Tăng Đao Binh 1150 điểm Đỡ
下一级：永久提高刀兵1200点格挡	Cấp sau: Tăng Đao Binh 1200 điểm Đỡ
下一级：永久提高刀兵1250点格挡	Cấp sau: Tăng Đao Binh 1250 điểm Đỡ
下一级：永久提高刀兵1300点格挡	Cấp sau: Tăng Đao Binh 1300 điểm Đỡ
下一级：永久提高刀兵1350点格挡	Cấp sau: Tăng Đao Binh 1350 điểm Đỡ
下一级：永久提高刀兵1400点格挡	Cấp sau: Tăng Đao Binh1400  điểm Đỡ
下一级：永久提高刀兵1450点格挡	Cấp sau: Tăng Đao Binh 1450 điểm Đỡ
下一级：永久提高刀兵1500点格挡	Cấp sau: Tăng Đao Binh 1500 điểm Đỡ
下一级：永久提高刀兵1550点格挡	Cấp sau: Tăng Đao Binh 1550 điểm Đỡ
下一级：永久提高刀兵1600点格挡	Cấp sau: Tăng Đao Binh 1600 điểm Đỡ
下一级：永久提高刀兵1650点格挡	Cấp sau: Tăng Đao Binh 1650 điểm Đỡ
下一级：永久提高刀兵1700点格挡	Cấp sau: Tăng Đao Binh 1700 điểm Đỡ
下一级：永久提高刀兵1750点格挡	Cấp sau: Tăng Đao Binh 1750 điểm Đỡ
下一级：永久提高刀兵1800点格挡	Cấp sau: Tăng Đao Binh 1800 điểm Đỡ
下一级：永久提高刀兵1850点格挡	Cấp sau: Tăng Đao Binh 1850 điểm Đỡ
下一级：永久提高刀兵1900点格挡	Cấp sau: Tăng Đao Binh 1900 điểm Đỡ
下一级：永久提高刀兵1950点格挡	Cấp sau: Tăng Đao Binh 1950 điểm Đỡ
下一级：永久提高刀兵2000点格挡	Cấp sau: Tăng Đao Binh 2000 điểm Đỡ
下一级：永久提高刀兵2050点格挡	Cấp sau: Tăng Đao Binh 2050 điểm Đỡ
下一级：永久提高刀兵2100点格挡	Cấp sau: Tăng Đao Binh 2100 điểm Đỡ
下一级：永久提高刀兵2150点格挡	Cấp sau: Tăng Đao Binh 2150 điểm Đỡ
下一级：永久提高刀兵2200点格挡	Cấp sau: Tăng Đao Binh 2200 điểm Đỡ
下一级：永久提高刀兵2250点格挡	Cấp sau: Tăng Đao Binh 2250 điểm Đỡ
下一级：永久提高刀兵2300点格挡	Cấp sau: Tăng Đao Binh 2300 điểm Đỡ
下一级：永久提高刀兵2350点格挡	Cấp sau: Tăng Đao Binh 2350 điểm Đỡ
下一级：永久提高刀兵2400点格挡	Cấp sau: Tăng Đao Binh 2400 điểm Đỡ
下一级：永久提高刀兵2450点格挡	Cấp sau: Tăng Đao Binh 2450 điểm Đỡ
下一级：永久提高刀兵2500点格挡	Cấp sau: Tăng Đao Binh 2500 điểm Đỡ
对敌方单体造成140%的伤害，并将自身武力转化为武防	Gây 140% sát thương lên 1 kẻ địch, và dùng Võ Lực bản thân chuyển hóa thành Võ Phòng
下一级：对目标造成的伤害提高至142%	Cấp sau: Tăng sát thương lên mục tiêu đến 142%
对敌方单体造成142%的伤害，并将自身武力转化为武防	Gây 142% sát thương lên 1 kẻ địch, và dùng Võ Lực bản thân chuyển hóa thành Võ Phòng
对敌方单体造成144%的伤害，并将自身武力转化为武防	Gây 144% sát thương lên 1 kẻ địch, và dùng Võ Lực bản thân chuyển hóa thành Võ Phòng
下一级：对目标造成的伤害提高至146%	Cấp sau: Tăng sát thương lên mục tiêu đến 146%
对敌方单体造成146%的伤害，并将自身武力转化为武防	Gây 146% sát thương lên 1 kẻ địch, và dùng Võ Lực bản thân chuyển hóa thành Võ Phòng
对敌方单体造成148%的伤害，并将自身武力转化为武防	Gây 148% sát thương lên 1 kẻ địch, và dùng Võ Lực bản thân chuyển hóa thành Võ Phòng
下一级：对目标造成的伤害提高至150%	Cấp sau: Tăng sát thương lên mục tiêu đến 150%
对敌方单体造成150%的伤害，并将自身武力转化为武防	Gây 150% sát thương lên 1 kẻ địch, và dùng Võ Lực bản thân chuyển hóa thành Võ Phòng
对敌方单体造成152%的伤害，并将自身武力转化为武防	Gây 152% sát thương lên 1 kẻ địch, và dùng Võ Lực bản thân chuyển hóa thành Võ Phòng
