关键字	简体	越南
E_STR_PAYCARNIVAL_RECHARGE_NOTENOUGH	充值元宝未达到要求不能领取奖励	Nạp KNB chưa đạt đến chỉ tiêu không thể nhận phần thưởng 
E_STR_PAYCARNIVAL_INFO	点击领奖，确认领取<font color='#FF0000'>%s</font>礼包	Ấn nhận thưởng, đồng ý nhận <font color='#FF0000'>%s</font> lễ bao 
E_STR_LUCK_RUNNER_INFO	使用物品兑换积分成功后，会扣除背包中相应物品。确定是否兑换？	Sau khi dùng vật phẩm đổi Điểm thành công, sẽ khấu trừ vật phẩm tương ứng trong túi. Đồng ý đổi ?
E_STR_LUCK_RUNNER_CASH	主公，您想花费%d元宝刷新幸运轮盘吗？	Chủ Công, ngươi muốn dùng %d KNB làm mới Hạnh Vận Luân Bàn chứ ?
E_STR_BAG_ITEM_NOT_ENOUGH	背包物品不足	Vật phẩm trong túi không đủ
HELP_HOFMAN_1	活动期间玩家出征或扫荡关卡，有几率掉落新年福娃。	Trong thời gian sự kiện người chơi xuất chinh hoặc càn quét quan ải, có xác suất nhận Tân Niên Phúc Oa 
HELP_HOFMAN_2	活动期间玩家每消耗一个新年福娃可拉动拉杆一次，每天可获得3个新年福娃。	Trong thời gian sự kiện người chơi cứ tiêu hao 1 cái Tân Niên Phúc Oa có thể đẩy cần gạt 1 lần, mỗi ngày có thể nhận được 3 cái Tân Niên Phúc Oa . 
HELP_HOFMAN_3	每次拉动拉杆，玩家将获得显示数字对应数量的元宝，还能领取累计登陆奖励。	Mỗi lần đẩy cần gạt, người chơi sẽ nhận được các con số hiển thị tương ứng với số lượng KNB, còn nhận được tích lũy phần thưởng đăng nhập 
HELP_HOFMAN_4	活动期间福满天下每天0点将会重置，重置后福娃数量将会清零，请及时使用福娃，以免造成遗憾。	Trong thời gian sự kiện Phúc Mãn Thiên Hạ sẽ được làm mới vào 0 giờ mỗi ngày, sau khi làm mới số lượng Phúc Oa sẽ trả lại 0, xin hãy kịp thời sử dụng Phúc Oa, tránh tạo thành sự đáng tiếc .
E_STR_HOFMAN_INFO	每日出征关卡可获得3个新年福娃，使用新年福娃，转动转轮获得显示数字对应元宝数，福娃数量每天0点重置。活动期间还可领取丰厚的累计登陆奖励。	Mỗi ngày xuất chinh quan ải có thể nhận được 3 cái Tân Niên Phúc Oa, sử dụng Tân Niên Phúc Oa, chuyển động vòng quay, người chơi sẽ nhận được các con số hiển thị tương ứng với số lượng KNB, 0 giờ hằng ngày làm mới số lượng Phúc Oa. Trong thời gian sự kiện
E_STR_HOFMAN_TIME	2015年2月18日-2015年2月24日	Ngày 18 tháng 2 năm 2015 - Ngày 24 tháng 2 năm 2015
E_STR_FUWA_NOT_ENOUGH	新年福娃不足，不能抽奖	Tân Niên Phúc Oa không đủ, không thể quay thưởng
E_STR_TODAY_FUWA_END	今日福娃已用完，请明日再来	Đã sử dụng hết Phúc Oa hôm nay, mời ngày mai quay lại
E_STR_FRIENDS_GET_FOOD	收取好友赠送%d粮草	Nhận %d Lúa hảo hữu tặng
E_STR_FRIENDS_GIVE_FOOD	赠送好友每人%d粮草	Tặng hảo hữu mỗi người %d Lúa
E_STR_FRIENDS_APPLY_0	申请成功	Xin phép thành công
E_STR_FRIENDS_APPLY_1	已经在自己的好友列表中	Đã có trong danh sách hảo hữu
E_STR_FRIENDS_APPLY_2	已经在对方的申请好友列表中	Đã có trong danh sách xin phép hảo hữu của đối phương
E_STR_FRIENDS_APPLY_3	自己好友列表已满	Danh sách hảo hữu đã đầy
E_STR_FRIENDS_APPLY_4	对方好友列表已满	Danh sách hảo hữu đối phương đã đầy
E_STR_FRIENDS_APPLY_5	对方已经申请自己，添加好友成功	Đối phương đã xin phép, thêm hảo hữu thành công 
E_STR_FRIENDS_ADD_SUC	好友添加成功	Thêm hảo hữu thành công
E_STR_FRIENDS_DEL_SUC	拒绝好友申请	Từ chối xin phép hảo hữu
E_STR_FRIENDS_FULL	对方好友列表已满	Danh sách hảo hữu đối phương đã đầy
E_STR_FRIENDS_UNKNOW	未知错误，请重启游戏．	Lỗi chưa xác định, thử khởi động lại !
E_STR_FRIENDS_NOT_FOUND	没有找到该玩家	Không tìm được người chơi này
E_STR_CHAT_INTERVAL	放送消息过于频繁，请等待5秒	Tin tức đang quá tải, xin chờ trong 5 giây 
E_STR_UNLOCK_LEGION_CHAT	21级加入军团后，解锁军团聊天	Cấp 21 gia nhập Quân Đoàn, mở khóa Quân Đoàn trò chuyện 
E_STR_CHAT_ADD_FRIEND	加为好友	Thêm hảo hữu
E_STR_CHAT_DEL_FRIEND	删除好友	Xóa hảo hữu
E_STR_CHAT_APPLYING_FRIEND	申请中	Đang xin phép
E_STR_FRIENDS_REMOVE_SUC	删除好友成功	Xóa hảo hữu thành công
E_STR_CONFIRM_REMOVE_FRIEND	确认删除该好友？	Đồng ý xóa hảo hữu này?
LEGION_ALEADY_JOINED_OTHERS	后台数据已发生变更，你已经被申请通过加入军团	Dữ liệu đã cập nhật mới, ngươi đã được thêm vào Quân Đoàn 
LEGION_MEMBER_COUNT	人数  %d/%d	Thành viên %d/%d
E_STR_SHOP_DESC1	%d人购买	%d người mua
E_STR_SHOP_DESC2	返还%d	Trả lại %d
E_STR_SHOP_DESC3	结算倒计时:	Tổng kết còn:
E_STR_SHOP_DESC4	当前尚无返还元宝的订单	Hiện tại không có nhiệm vụ trả lại KNB 
E_STR_SHOP_DESC5	%d月%d日	tháng %d ngày %d 
E_STR_SHOP_DESC6	，请于本期团购结束后领取返还元宝。	 , hãy nhận lại KNB sau khi kết thúc đợt mua theo nhóm này
E_STR_SHOP_DESC7	开始倒计时:	Bắt đầu còn:
E_STR_SHOP_DESC8	未开始	Chưa bắt đầu
E_STR_SHOP_DESC9	恭喜眼明手快的%s成为本期秒杀幸运儿之一，获得了%s。	Chúc mừng %s trở thành người may mắn tranh mua kì này, đã nhận được %s
E_STR_SHOP_DESC10	很遗憾，你慢了一步，期待下期吧。	Thật đáng tiếc, ngươi chậm một bước rồi, đợi lần sau nhé.
E_STR_SHOP_CARD_NAME_DESC1	惊喜不断	Không phải dạng vừa
E_STR_SHOP_CARD_NAME_DESC2	好运连连	Thật tuyệt vời
E_STR_SHOP_CARD_NAME_DESC3	不容错过	Không thể tin được
E_STR_SHOP_SELLALL	已售完	Đã bán hết
E_STR_SHOP_MIAOSHA	秒杀	Tranh mua 
E_STR_SHOP_MIAOSHA1	已秒杀	Đã tranh mua
E_STR_SHOP_DATA_ERR	商城数据已刷新	Dữ liệu Thương Thành đã làm mới
E_STR_SHOP_DATE	%d年%d月%d日	Năm %d tháng %d ngày %d
E_STR_SHOP_MIAOSHA_NOTICE	当前尚无最近秒杀成功名单	Hiện tại không có nhiệm vụ nào tranh mua thành công 
E_STR_SHOP_BLACKSHOP_DESC1	已达刷新次数上限	Số lần làm mới đã đạt giới hạn
E_STR_SHOP_BLACKSHOP_DESC2	刷新所需材料不够,是否使用元宝继续刷新？	Vật phẩm làm mới không có, Dùng KNB làm mới ?
E_STR_SHOP_BLACKSHOP_DESC3	已达刷新次数上限，提升VIP等级可获得额外刷新次数	Số lần làm mới đã hết, tăng cấp VIP có thể thêm
E_STR_SHOP_SHENGWANG_DESC	声望不足	Danh Vọng không đủ 
E_STR_SHOP_HELP_DESC1	特购为VIP特购，VIP达到要求可购买特惠道具，每日可购买1次。	VIP có đặc quyền mua ưu đãi, VIP đạt đủ yêu cầu sẽ có thể mua vật phẩm với giá đặc biệt, mỗi ngày có thể mua 1 lần
E_STR_SHOP_HELP_DESC2	团购每天于0:00、6:00、12:00、18:00开放，一轮6小时，前5小时为购买期，最后1小时为结算期，进入结算期后就无法参加该期团购，请把握时间参与。	Mua theo nhóm hằng ngày được mở vào lúc 0:00, 6:00, 12:00, 18:00, mỗi lần 6 giờ, 5 giờ của thời gian mua, 1 giờ cuối cùng của thời gian tổng kết, bước vào thời gian tổng kết sẽ không thể tham gia mua nữa, hãy nắm bắt thời gian nhé.
E_STR_SHOP_HELP_DESC3	团购商品购买的玩家越多，返还的元宝就越多，点击刷新可即使了解目前购买人数。	Người chơi mua càng nhiều vật phẩm, thì KNB trả lại sẽ càng nhiều, ấn làm mới có thể xem rõ hơn số người mua hiện tại 
E_STR_SHOP_HELP_DESC4	购买时需要按原价付款，每期团购结束后根据购买人数返还相应数量的元宝。	Khi mua sẽ căn cứ vào giá gốc để thanh toán, sau khi kết thúc căn cứ vào số người mua để trả lại KNB tương ứng 
E_STR_SHOP_HELP_DESC5	团购返还的元宝保留30天，过期无法领取，请及时领取。	Mua theo nhóm trả lại KNB được bảo lưu trong 30 ngày, quá hạn sẽ không thể nhận, hãy nhận kịp thời 
E_STR_SHOP_HELP_DESC6	每天11点与21点开启秒杀,每期持续30分钟。	Mỗi ngày vào 11 giờ và 21 giờ bắt đầu tranh mua, mỗi lần duy trì 30 phút 
E_STR_SHOP_HELP_DESC7	秒杀分1折秒杀和1元秒杀，每次开启时随机一种方式。	Tranh mua chia thành tranh mua giảm 90% và tranh mua mua với 1 đồng, mỗi ngày sẽ ngẫu nhiên mở 1 loại 
E_STR_SHOP_HELP_DESC8	每期秒杀提供三种道具，供玩家选择，每种道具仅限购买1次，每次只能选择秒杀一种道具。	Mỗi lần tranh mua sẽ có 3 loại vật phẩm, mỗi loại vật phẩm chỉ được mua 1 lần
E_STR_SHOP_HELP_DESC9	每期秒杀开启后，道具数量有限，先到先得。	Sau mỗi lần bắt đầu tranh mua, số lượng vật phẩm có hạn, đến trước được trước 
E_STR_AVFOOD_FOODEXTRA	领取成功，额外获得%d粮草	Nhận thành công, nhận được thêm %d Lúa
E_STR_AVFOOD_HADGEN	您已经领取过了	Bạn đã nhận rồi
E_STR_AVFOOD_MISSTIME	您错过领取时间了	Bạn đã bỏ lỡ thời gian nhận rồi
E_STR_ARENA_AWARD_DESC1	未达成	Chưa đạt
E_STR_ARENA_AWARD_DESC2	已达成	Đã đạt
E_STR_SKILL_BO	合成暴击！！	Ghép bạo kích !!
E_STR_SKILL_DEBO	超级暴击！！	Siêu cấp bạo kích !!
E_STR_AVPAY_NO_BOX	主公，没有宝箱哦，快去征战获得宝箱吧。	Chủ Công, không có Bảo Rương đấy, mau đi chinh chiến để nhận Bảo Rương thôi 
E_STR_AVPAY_NO_SCORE	主公，开宝箱可是需要100积分的哦。	Chủ Công, mở Bảo Rương cần 100 Điểm đấy nhé 
E_STR_BOSS_ISAUTO	自动战斗	Tự động chiến đấu
E_STR_BOSS_NOTAUTO	取消自动	Hủy bỏ tự động
E_STR_ARENA_HAVE_NOT_ACHIEVE	未达成	Chưa đạt
E_STR_FAME	声望	Danh Vọng 
E_STR_GET_AWARD_BUSINESS	你获得了%s	Bạn nhận được %s
E_STR_FRIENDS_DELETE	确定要删除这个好友吗?	Chắc chắn xóa hảo hữu này chứ?
E_STR_FRIENDS_SEARCH_SELF	请不要搜索自己	Hãy đừng tìm kiếm bản thân
E_STR_SOULXPMAITAL_CONUT	不足！	Không đủ !
E_STR_HEIDIAN_HELP_DESC1	神秘商店是游戏中的特殊商店，可以在其中通过购买获得特殊道具	Tiệm Thần Bí là Tiệm đặc biệt, có thể mua được vật phẩm đặc biệt
E_STR_HEIDIAN_HELP_DESC2	神秘商店中可以获得低价打折商品、彩将招募令、神将碎片等稀缺道具	Tiệm Thần Bí có bán vật phẩm ưu đãi, lệnh chiêu mộ Thần Tướng, Mảnh Phong Thần và các vật phẩm hiếm
E_STR_HEIDIAN_HELP_DESC3	神秘商店中的商品，可以用元宝、将魂、金币等多种方式购买	Vật phẩm trong Tiệm Thần Bí, có thể mua bằng KNB, Tướng Hồn, Vàng,…
E_STR_HEIDIAN_HELP_DESC4	神秘商店每隔2个小时自动刷新一次，每次刷新均会更换出售的商品列表	Tiệm Thần Bí cứ 2 giờ sẽ làm mới 1 lần, mỗi lần làm mới hầu như sẽ đổi danh mục vật phẩm bán 
E_STR_HEIDIAN_HELP_DESC5	主公们可以通过刷新主动更换神秘商店中的商品列表，选择自己想要的物品进行购买	Chủ Công có thể làm mới để đổi danh mục vật phẩm trong Tiệm Thần Bí, chọn vật phẩm mình thích và tiến hành mua nó
E_STR_HEIDIAN_HELP_DESC6	刷新需要消耗刷新令牌或元宝，优先消耗令牌，令牌不足时消耗元宝	Làm mới cần tiêu hao Thương Lệnh hoặc KNB, ưu tiên tiêu hao Thương Lệnh, không đủ sẽ tiêu hao KNB 
E_STR_HEIDIAN_HELP_DESC7	每个主公每天可以获得一定数量的刷新令牌	Mỗi Chủ Công sẽ nhận được số lượng Thương Lệnh nhất định hằng ngày
E_STR_HEIDIAN_HELP_DESC8	每日刷新神秘商店均有上限次数，主公的VIP等级不同，刷新神秘商店的上限次数也有所不同	Hằng ngày làm mới Tiệm Thần Bí đều được giới hạn số lần, cấp VIP khác nhau thì giới hạn số lần làm mới Tiệm Thần Bí cũng sẽ khác
E_STR_ALTAR_FOOD_NOT_ENOUCH	本次挑战需要花费%d元宝，当前元宝不足	Khiêu chiến cần %d Lúa, hiện tại Lúa không đủ 
E_STR_NOTATTHETIME	活动结束后才能领取排行奖励。	Sau khi sự kiện kết thúc mới nhận được phần thưởng xếp hạng
E_STR_BORROWARROW_RESET	重置将扣除%d元宝，是否确定？	Làm mới tốn %d KNB, đồng ý?
E_STR_PVP_NOT_OPEN	本服武圣争霸暂未开放，敬请期待	Võ Thánh Tranh Bá vẫn chưa mở, hãy đợi nhé 
E_STR_GOTO_GET	去获取	Nhận 
E_STR_GOTO	前往	Đi
E_STR_TASK_DESC	活跃度领取物品异常	Nhận thưởng vật phẩm bị lỗi 
E_STR_PATROL_INFO1	1.初始状态下矿点会有一个武将在进行驻守	1. Ban đầu Ngân Khoáng sẽ có Võ Tướng trấn thủ 
E_STR_PATROL_INFO2	2.击败原有驻守武将后，才能派遣武将驻守其中	2. Sau khi đánh bại Võ Tướng trấn thủ hiện tại, mới được cử Võ Tướng trấn thủ khác 
E_STR_PATROL_INFO3	3.击败原有驻守武将时，可获得丰厚奖励	3. Khi đánh bại Võ Tướng trấn thủ hiện tại, có thể nhận được mảnh Võ Tướng tương ứng
E_STR_PATROL_INFO4	4.君主派遣武将驻守矿点，可获得各种游戏道具奖励，若武将可用碎片合成，则一定会获得驻守武将对应的武将碎片	4. Quân Chủ cử Võ Tướng trấn thủ Ngân Khoáng, có thể nhận được phần thưởng phong phú, và sẽ nhận được mảnh Võ Tướng tương ứng
E_STR_PATROL_EXPLANATION1	1.武将进驻矿点后，每隔一段时间获取一次奖励,矿场日志会显示所有的获奖记录	1. Sau khi Võ Tướng vào Điểm Khoáng, cứ cách một lúc được 1 lần thưởng, nhật ký Bãi Khoáng sẽ hiển thị tất cả nhật ký nhận thưởng
E_STR_PATROL_EXPLANATION2	2.获取奖励时，可获得多种道具，有概率得到元宝和驻守武将对应的武将碎片	2. Khi nhận thưởng được các loại đạo cụ, có tỉ lệ được KNB và Mảnh Võ Tướng tương ứng Võ Tướng trấn thủ
E_STR_PATROL_EXPLANATION3	3.驻守期间获得的奖励，只有在驻守结束后才能领取	3. Thưởng thời gian trấn thủ nhận được, chỉ sau khi trấn thủ kết thúc mới nhận được
E_STR_PATROL_EXPLANATION4	4.武将驻守后不影响其他游戏行为	4. Võ Tướng trấn thủ không ảnh hưởng đến các hoạt động khác
E_STR_PATROL_GET_REWARD	驻守获得奖励	Trấn thủ đạt phần thưởng 
E_STR_PATROL_VIEW1	查看说明	Hướng dẫn 
E_STR_PATROL_VIEW2	查看阵型	Trận hình
E_STR_PATROL_WIN_GET	战胜可获得	Chiến thắng sẽ nhận được 
E_STR_PATROL_REWARD_LIMIT	奖励获取已达上限	Nhận thưởng đã đạt giới hạn 
E_STR_PATROL_REWARD_NEXT_TIME	下次奖励获取时间:	Thời gian nhận thưởng lần sau:
E_STR_PATROL_NONE_ROLE	当前无人驻守	Hiện tại không ai trấn thủ 
E_STR_PATROL_REWARD_NOW	当前驻守奖励	Phần thưởng trấn thủ hiện tại 
E_STR_PATROL_REWARD	驻守后概率获得	Sau khi trấn thủ có tỉ lệ nhận được
E_STR_PATROL_HELP1	地图上存在多个矿点，初始时都有一个武将驻守其中	Mỗi bản đồ có nhiều quáng điểm, mỗi quáng điểm đều để cho người chơi cử Võ Tướng trấn giữ 
E_STR_PATROL_HELP2	击败初始的驻守武将后，君主可以派遣自己的武将驻守到矿点中	Mỗi quáng điểm lúc đầu đều có 1 Võ Tướng trấn thủ, sau khi công bại Võ Tướng đó mới được cử Võ Tướng trấn thủ quáng điểm 
E_STR_PATROL_HELP3	挑战矿点的驻守武将时，只有成功挑战战力较低的矿点驻守武将后，才能挑战战力更高的驻守武将。挑战成功后，可以获得丰厚奖励	Quáng điểm có nhiều cấp khác nhau, cấp càng cao,thực lực Võ Tướng trấn thủ càng mạnh; Thực lực Võ Tướng trấn thủ càng mạnh, phần thưởng sau khi công bại sẽ càng  phong phú 
E_STR_PATROL_HELP4	武将驻守矿点期间，每隔一段时间便会获得一次驻守奖励	Chỉ khi công bại Võ Tướng trấn thủ của quáng điểm cấp thấp, mới có cơ hội công đánh quáng điểm cấp cao 
E_STR_PATROL_HELP5	每次获得奖励时，君主都有一定几率获得”金币、培养丹、经验人偶、技能书、兵符、神秘商店刷新令、幸运宝石”，更有一定几率获得元宝和驻守武将对应的武将碎片。 	Sau khi công bại Võ Tướng hiện tại của quáng điểm, Quân chủ có thể cử Võ Tướng của mình để trấn thủ, giám sát quáng sản khai thác
E_STR_PATROL_HELP6	驻守结束后，君主可以一次性领取驻守期间的奖励，但在驻守期间，无法更改驻守的武将名单，且武将也无法撤离	Sau khi trấn thủ kết thúc, Quân Chủ có thể một lần nhận hết phần thưởng trấn thủ, nhưng trong thời gian trấn thủ, không thể đổi danh sách Võ Tướng trấn thủ, và Võ Tướng này cũng không thể rời khỏi 
E_STR_PATROL_HELP7	武将驻守期间，不对武将的其他游戏行为造成影响	Trong thời gian trấn thủ, kkhông thể thao tác Võ Tướng
E_STR_PATROL_HELP8	君主只能派遣上阵中的武将驻守矿点，一个武将同一时刻只能驻守一个矿点	Quân Chủ chỉ được cử Võ Tướng xuất trận để trấn thủ mỏ, một Võ Tướng ở cùng 1 thời điểm chỉ được trấn thủ 1 mỏ
E_STR_PATROL_HELP9	选择驻守时，君主们也可以选择不同的驻守与奖励获得方式，用以对应君主们各自的不同情况	Khi chọn trấn thủ, Quân Chủ có thể chọn các hình thức trấn thủ và phần thưởng khác nhau, tùy vào từng trường hợp tương ứng khác nhau của Quân Chủ 
E_STR_PATROL_END	驻守已结束可领奖	Phần thưởng đã kết thúc khả năng nhận thưởng
E_STR_PATROL_TIME1	%s小时	%s giờ
E_STR_PATROL_TIME2	(每%smin获得一次奖励)	(Cứ %s phút nhận thưởng 1 lần)
E_STR_PATROL_NO_CHIP	此武将无碎片	Võ Tướng này không còn mảnh
E_STR_PATROL_GARRISONED1	该武将已经在驻守其他金矿	Võ Tướng này đã trấn thủ mỏ khác 
E_STR_PATROL_GARRISONED2	已驻守	Đã trấn thủ 
E_STR_EXP_MAX	经验已满	Exp đã đầy
E_STR_STAGE_PANEL_INFO2	主公可以回頭打關卡，得星星，換神將呦~	Chủ Công có thể quay lại đánh quan ải, nhận sao, đổi thần tướng 
E_STR_OPEN_LEVEL	等级不足	Cấp không đủ 
E_STR_SOUL_ALTAR_OPEN_LIMIT	产出尚未开放	Chưa mở 
E_STR_RUN_COUNT	转动次数:	Số lần quay:
E_STR_REMAIN_SCORE	剩余积分:	Điểm còn:
E_STR_LEFT_TIME	活动剩余时间:	Sự kiện còn:
E_STR_RUN_SCORE	转动消耗积分:	Quay tiêu hao điểm:
E_STR_REFRESH_SCORE	刷新消耗积分:	Làm mới tiêu hao điểm:
E_STR_RUN	转动	Quay
E_STR_BORROWARROW_UP_TO_RANK	恭喜主公，我们挺进到第%d名了	Chúc mừng Chủ Công, hiện tại đã vào đến hạng %d rồi 
E_STR_BORROWARROW_DOWN_TO_RANK	有人居然比我们还拼，我们跌到第%d名了	Quả nhiên có người còn lợi hại hơn, chúng ta đã rớt đến hạng %d rồi
E_STR_GOT_CRIT_SCORE	恭喜主公，此发暴击，获得%d积分	Chúc mừng Chủ Công, lần bạo kích này nhận được %d Điểm 
E_STR_GOT_SCORE	获得%d积分	Nhận được %d Điểm 
E_STR_REPLACE_SKILL	更换技能	Đổi kỹ năng 
E_STR_OPEN_SKILL_FIELD	是否花费%d元宝开启该栏位？	Đồng ý dùng %d KNB mở ô ?
E_STR_REPLACE_SKILL_SUCCESS	更换成功	Đổi thành công 
E_STR_SKILL_NOT_OPEN	暂未开放	Chưa mở 
LEGION_MILITARY_EFFECT_INFO	皇城争霸和矿区争夺战中：每次战斗扣除体力值-%d点，初始迁徙次数+%d次。	Ở Hoàng Thành Tranh Bá và Khoáng Thạch Chiến: Mỗi lần chiến đấu -%d điểm thể lực, số lần di chuyển ban đầu + %d lần.
LEGION_MILITARY_GET_EXP_INFO	在皇城称霸中，每击杀一个地方玩家，增加%d点军衔经验	Trong Hoàng Thành Tranh Bá, cứ diệt 1 người chơi, tăng %d điểm EXP Quân Hàm
E_STR_ROLE_HORSE_DESC1	装备%s，额外%s+%s	Trang bị %s, thêm %s + %s
E_STR_ROLE_HORSE_DESC2	装备%s级马鞍，额外%s+%s	Trang bị Yên Ngựa cấp %s, thêm %s + %s
E_STR_ROLE_HORSE_DESC3	装备%s级马鞭，额外%s+%s	Trang bị Roi Ngựa cấp %s, thêm %s + %s
E_STR_ROLE_FATE_DESC	缘分武将	Võ tướng duyên phận
E_STR_ROLE_HORSE_EQUIP	装备于	Trang bị cho
E_STR_ROLE_HORSE_ERR	坐骑信息异常	Thông tin thú cưỡi bất thường
E_STR_ROLE_HORSE_EQUIPED	已装备此马	Đã trang bị ngựa này
E_STR_ROLE_HORSE_NO_EXCHANGE	没有马匹可更换	Không có ngựa để thay đổi
E_STR_ROLE_HORSE_LEVEL	等级：%d/10级	Cấp: %d/10
E_STR_ROLE_HORSE_EQUIP_ROLE	装备武将：	Trang bị Võ Tướng: 
E_STR_ROLE_HORSE_FULL	马厩已满，请出售部分不需要的马匹	Chuồng ngựa đã đầy, bán một số ngựa không cần dùng
E_STR_STRENGTH_MASTER_REACH	[%s]装备强化大师%s级达成	[%s] Cường Hóa Sư đạt cấp %s
E_STR_FORGE_MASTER_REACH	[%s]装备打造大师%s级达成	[%s] Luyện Hóa Sư cấp %s
E_STR_GEM_MASTER_REACH	[%s]装备宝石大师%s级达成	[%s] Khảm Sư đạt cấp %s 
E_STR_ATTACK_BUFF_NUMBER	武力+%d	Võ Lực +%d
E_STR_MAGIC_BUFF_NUMBER	谋略+%d	Mưu Lược+%d
E_STR_HEALTH_BUFF_NUMBER	士兵+%d	Binh Lực +%d
E_STR_DEFENCE_BUFF_NUMBER	武防+%d	Võ Phòng +%d
E_STR_MDEFENCE_BUFF_NUMBER	谋防+%d	Mưu Phòng +%d
E_STR_LEVEL	%d级	Cấp %d
E_STR_LEVEL_MAX	%d级(满级)	Cấp %d (Đủ cấp)
E_STR_STRENGTH_MASTER_INFO	所有装备强化达到%d级则强化大师升级	Cường hóa tất cả trang bị đạt cấp %d sẽ tăng cấp Cường Hóa Sư
E_STR_FORGE_MASTER_INFO	所有装备打造达到%d级则打造大师升级	Rèn tất cả trang bị đạt cấp %d sẽ tăng cấp Luyện Hóa Sư
E_STR_GEM_MASTER_INFO	所有装备镶嵌宝石达到%d级则镶嵌大师升级	Khảm tất cả trang bị đạt cấp %d sẽ tăng cấp Khảm Sư
E_STR_ROLE_HORSE_CONFIRMSELL	选中马匹中有橙色马匹，是否出售	Trong mục chọn ngựa có ngựa cam, bán không
E_STR_HORSE_UP_TITLE1	坐骑升级	Tăng cấp thú cưỡi
E_STR_HORSE_UP_TITLE2	马鞭升级	Tăng cấp Roi Ngựa
E_STR_HORSE_UP_TITLE3	马鞍升级	Tăng cấp Yên Ngựa
E_STR_ACTIVIT_OVER	活动已结束	Hoạt động đã kết thúc
E_STR_AWARD_TOM	请主公次日在来领取奖励！	Chúa công ngày sau đến nhận thưởng!
E_STR_ERROR_TOM	不能查看明日奖励信息！	Không thể xem thông tin thưởng ngày mai
E_STR_AWARD_TIME	领奖倒计时：	Nhận thưởng còn:
HELP_RECHANGEREB_1	活动当天玩家充值元宝数达到特定金额，可在活动第二天领取相应元宝及物品奖励	Trong ngày hoạt động người chơi nạp đạt số lượng KNB nhất định, nhận được thưởng vật phẩm và KNB tương ứng vào ngày thứ 2
HELP_RECHANGEREB_2	活动结束后,充值金额3000元宝及以上的玩家可争夺排行榜奖励	Sau khi hoạt động kết thúc, người chơi nạp 3000 KNB và trên 3000 KNB có thể tranh đoạt thưởng BXH
HELP_RECHANGEREB_3	玩家领取奖励时只能领取充值元宝数对应最高档次的奖励	Khi người chơi nhận thưởng chỉ được nhận thưởng xếp hạng cao nhất tương ứng số KNB nạp
HELP_RECHANGEREB_4	活动结束后将会有一天领奖倒计时，请玩家在活动关闭前及时领取，以免造成损失	Sau khi hoạt động kết thúc sẽ có đếm ngược nhận thưởng 1 ngày, người chơi kịp thời nhận trước khi hoạt động kết thúc để tránh tổn thất
E_STR_DISCOUNT_SHOP_HELP_DESC1	特惠商为限时活动，活动结束后，特惠商店将消失	Tiệm Giảm Giá là hoạt động hạn giờ, sau khi hoạt động kết thúc, Tiệm này sẽ mất
E_STR_DISCOUNT_SHOP_HELP_DESC2	活动期间，商店会进行优惠打折活动，以极低的价格进行出售游戏内稀缺的武将碎片和稀缺道具	Thời gian hoạt động, Tiệm sẽ tiến hành hoạt động giảm giá, và tiến hành bán Mảnh Võ Tướng hiếm và đạo cụ hiếm trong game với giá cực thấp
E_STR_DISCOUNT_SHOP_HELP_DESC3	随着购买次数的增加，商品的售价会逐步提高，达到当日售价上限后便不再增加；各个商品之间的售价单独计算购买次数，不相互影响	Số lần mua tăng, giá bán thương phẩm sẽ dần tăng, sau khi đạt giới hạn giá bán trong ngày sẽ không tăng nữa; Giá bán giữa các thương phẩm tính riêng lẻ số lần mua, không ảnh hưởng nhau
E_STR_DISCOUNT_SHOP_HELP_DESC4	商品售价在晚上24:00进行重置，重置后玩家可以再次从最低价格开始购买物品	Thiết lập lại giá bán thương phẩm lúc 24:00, thiết lập xong người chơi bắt đầu mua vật phẩm từ giá thấp nhất
E_STR_DISCOUNT_SHOP_HELP_DESC5	特惠商店活动次数有限，请各位玩家抓紧机会哦	Số lần hoạt động Tiệm Giảm Giá có hạn, người chơi nên nắm bắt cơ hội
E_STR_RECHARGEANDPAY_HELP1	储值元宝超过3000元宝和消费元宝3000元宝可争夺排行榜奖励。	Nạp thẻ quá 3000 KNB và tiêu phí 3000 KNB có thể tranh đoạt Thưởng BXH.
E_STR_RECHARGEANDPAY_HELP2	储值排行榜与消费排行榜显示本周储值消费前三玩家角色名。	BXH nạp thẻ và BXH tiêu phí hiển thị Top 3 nhân vật người chơi nạp thẻ tiêu phí.
E_STR_RECHARGEANDPAY_HELP3	排行榜将会在每周星期天晚上0点前结算，排行榜上玩家可在次日进入界面领取奖励。	BXH sẽ tổng kết trước 00:00 tối mỗi chủ nhật, người chơi lên BXHCó thể vào giao diện nhận thưởng ngày thứ 2.
E_STR_RECHARGEANDPAY_HELP4	每周一为领奖时间，上周上榜玩家可在周一领取奖励。玩家周一储值消费的元宝将会计算在储值消费排行榜中。	Thứ 2 mỗi tuần là thời gian nhận, người chơi lên bảng tuần trước có thể nhận thưởng vào ngày thứ 2.KNB nạp thẻ tiêu phí thứ 2 sẽ tính vào BXH nạp thẻ tiêu phí.
E_STR_RECHARGEANDPAY_HELP5	进入排行榜玩家请在周一完成奖励领取，以免照成损失。	Người chơi vào BXH, vào thứ 2 hãy hoàn tất nhận thưởng để tránh tổn thất.
